Año,Mes,Total,Ilocalizable,No_Contesta,D_Incorrectos,Duplicados,Efectivos,Abiertos,Ventas,Conversion,Efectividad
2024,Febrero,543,108,33,0,1,389,1,12,3.1,72
2024,Marzo,178,37,13,0,0,128,1,7,5.5,72
2024,Abril,416,79,46,3,0,288,1,8,2.8,69
2024,Mayo,422,33,100,17,0,274,5,13,4.7,65
2024,Junio,967,140,173,31,3,620,17,6,1.0,64
2024,Julio,954,112,251,12,9,570,5,21,3.7,60
2024,Agosto,1409,504,324,17,18,546,22,17,3.1,39
2024,Septiembre,1315,431,314,14,26,530,42,17,3.2,40
2024,Octubre,1973,514,606,18,13,822,72,23,2.8,42
2024,Noviembre,1562,153,321,44,4,1040,79,22,2.1,67
2024,Diciembre,1282,374,193,60,53,965,330,32,3.3,75
2025,Enero,1042,17,104,62,136,723,222,26,3.6,69
2025,Febrero,561,9,39,14,31,468,150,20,4.3,83
2025,Marzo,925,39,98,3,54,731,125,30,4.1,79
2025,Abril,1149,51,134,8,84,872,141,30,3.4,76
2025,Mayo,815,5,75,2,14,574,179,34,5.9,70
2025,Junio,1083,62,266,5,56,694,315,40,5.8,64
2025,Julio,1358,128,241,3,93,893,290,36,4.0,66
2025,Agosto,1419,81,591,7,59,681,338,27,4.0,48
2025,Septiembre,1100,32,401,9,18,660,229,38,5.8,60
2025,Octubre,1192,67,413,0,17,695,288,40,5.8,58
2025,Noviembre,1061,46,218,1,52,744,488,41,5.5,70
2025,Diciembre,1534,125,194,34,44,729,823,34,4.7,48
2026,Enero,1516,148,187,52,53,714,602,37,5.2,47
2026,Febrero,1235,116,106,8,31,730,523,30,4.1,59
2026,Marzo,1785,228,184,48,32,944,698,38,4.0,53
2026,Abril,1393,212,123,38,28,724,559,41,5.7,52
2026,Mayo,1251,158,116,25,19,736,458,35,4.8,59
